Nome Científico,Gênero,Família,Data do Registro,Estado,País
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-01,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-01,Goiás,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-01,Espírito Santo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-02,Espírito Santo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-01,Espírito Santo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-03,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-03,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-03,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-03,Ceará,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-03,Espírito Santo,Brazil
"Melipona quadrifasciata Lepeletier, 1836",Melipona,Apidae,2025-01-03,Espírito Santo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-04,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-05,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-05,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-05,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-06,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-06,Rio de Janeiro,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-07,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-07,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-07,Espírito Santo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-08,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-08,São Paulo,Brazil
"Bombus brasiliensis Lepeletier, 1836",Bombus,Apidae,2025-01-06,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-10,Rio Grande do Norte,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-09,Rio de Janeiro,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-11,São Paulo,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-11,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-11,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-07,Bahia,Brazil
"Trigona spinipes (Fabricius, 1793)",Trigona,Apidae,2025-01-12,São Paulo,Brazil
"Bombus brasiliensis Lepeletier, 1836",Bombus,Apidae,2025-01-12,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-11,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-13,São Paulo,Brazil
"Apis mellifera Linnaeus, 1758",Apis,Apidae,2025-01-13,São Paulo,Brazil
"Melipona quadrifasciata Lepeletier, 1836",Melipona,Apidae,2025-01-11,São Paulo,Brazil
